地段位置或門牌,社區簡稱,交易日期,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,路段
虎尾鎮虎興北路２９之１１號,,112/07/30,914,20.86,43.82,,透天厝,2,全/三層,房地(土地+建物),土:5 建:1車:0,4房2廳3衛,,有,無,住家用,,虎尾鎮虎興北路
虎尾鎮虎興北路２９之３號,,112/10/12,940,24.63,38.16,,透天厝,2,全/三層,房地(土地+建物),土:4 建:1車:0,4房1廳3衛,,無,無,住家用,,虎尾鎮虎興北路
虎尾鎮虎興北路３１號,,111/04/26,1380,22.46,61.43,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳5衛,,無,無,住家用,成屋之交易案件,虎尾鎮虎興北路
虎尾鎮虎興北路３５之８號,,111/10/24,936,22.6,41.42,,透天厝,1,全/三層,房地(土地+建物),土:4 建:1車:0,4房2廳3衛,,無,無,住家用,,虎尾鎮虎興北路
虎尾鎮虎興北路３５號,,113/04/25,1460,20.42,71.49,,透天厝,3,全/三層,房地(土地+建物),土:3 建:1車:0,4房3廳5衛,,無,無,住家用,,虎尾鎮虎興北路
虎尾鎮虎興北路３７之１０號,,111/02/08,900,16.71,53.87,,透天厝,1,全/三層,房地(土地+建物),土:5 建:1車:0,4房1廳3衛,,無,無,住家用,,虎尾鎮虎興北路
虎尾鎮虎興北路７３號,,111/05/24,1350,21.55,62.65,,透天厝,9,全/三層,房地(土地+建物),土:3 建:1車:0,4房2廳4衛,,無,無,住家用,,虎尾鎮虎興北路
虎尾鎮虎興北路１０１號,,111/05/18,850,16.98,50.05,,透天厝,9,全/三層,房地(土地+建物),土:4 建:1車:0,3房2廳3衛,,無,無,住家用,,虎尾鎮虎興北路
虎尾鎮虎興北路１２１號,,112/12/31,1400,27.17,51.53,,透天厝,10,全/三層,房地(土地+建物),土:4 建:1車:0,4房2廳3衛,,無,無,住家用,頂樓加蓋;,虎尾鎮虎興北路
虎尾鎮虎興北路１４１號,,111/02/21,1020,18.46,55.25,,透天厝,8,全/三層,房地(土地+建物),土:3 建:1車:0,4房2廳3衛,,有,無,住家用,其他增建;,虎尾鎮虎興北路
虎尾鎮虎興北路１４３號,,111/01/12,1000,18.1,55.25,,透天厝,8,全/三層,房地(土地+建物),土:3 建:1車:0,,,無,無,住家用,頂樓加蓋;其他增建;,虎尾鎮虎興北路
虎尾鎮虎興南路１０２號,,112/01/03,1300,25.72,50.55,,透天厝,2,全/三層,房地(土地+建物),土:2 建:1車:0,4房1廳5衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;,虎尾鎮虎興南路
虎尾鎮虎興南路１０８之７號,,111/01/10,1268,22.76,55.72,,透天厝,1,全/三層,房地(土地+建物),土:3 建:1車:0,4房2廳4衛,,無,無,住家用,,虎尾鎮虎興南路
虎尾鎮虎興南路１１０之２號,,112/07/27,1500,26.76,56.05,,透天厝,3,全/三層,房地(土地+建物),土:3 建:1車:0,4房2廳4衛,,無,無,住家用,,虎尾鎮虎興南路
虎尾鎮虎興南路５２８之１１號,,112/06/12,908,20.21,44.92,,透天厝,7,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳3衛,,無,無,住家用,,虎尾鎮虎興南路
虎尾鎮虎興南路５２８之２號,,112/12/11,890,20.61,43.18,,透天厝,7,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳3衛,,無,無,住家用,其他增建;,虎尾鎮虎興南路
虎尾鎮虎興南路５９２號,,112/11/28,1280,28.82,44.41,0.6897,華廈(10層含以下有電梯),1,一層/六層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,商業用,,虎尾鎮虎興南路
虎尾鎮虎興東一街１３６之２號,,112/11/07,1530,27.11,56.44,,透天厝,1,全/三層,房地(土地+建物),土:3 建:1車:0,5房3廳5衛,,無,無,住家用,,虎尾鎮虎興東一街
虎尾鎮虎興東一街１３６之３號,,112/10/10,1450,26.58,54.55,,透天厝,1,全/三層,房地(土地+建物),土:3 建:1車:0,5房3廳5衛,,無,無,住家用,,虎尾鎮虎興東一街
虎尾鎮虎興東一街１３８之１號,,111/02/19,1262,20.1,62.8,,透天厝,,全/三層,房地(土地+建物),土:3 建:1車:0,5房3廳5衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東一街
虎尾鎮虎興東一街１３８之５號,,113/01/20,1530,28.05,54.55,,透天厝,1,全/三層,房地(土地+建物),土:4 建:1車:0,5房3廳5衛,,無,無,住家用,,虎尾鎮虎興東一街
